Year,continent ,order,country,Code,Total,Other South,Other North
2010,Caribbean,2010167,Saint Vincent and the Grenadines,670,"4,569",244,43
2010,Caribbean,2010168,Sint Maarten (Dutch part),534,"26,200","1,652",585
2010,Caribbean,2010169,Trinidad and Tobago,780,"48,226","5,465","1,821"
2010,Caribbean,2010170,Turks and Caicos Islands,796,"17,216","1,120","3,162"
2010,Caribbean,2010171,United States Virgin Islands,850,"56,684",917,241
2010,America,2010173,Belize,84,"46,360",291,872
2010,America,2010174,Costa Rica,188,"4,05,404","13,180",516
2010,America,2010175,El Salvador,222,"40,324",92,30
2010,America,2010176,Guatemala,320,"66,384",20,62
2010,America,2010177,Honduras,340,"27,288",81,54
2010,America,2010178,Mexico,484,"9,69,538","2,296",369
2010,America,2010179,Nicaragua,558,"37,333","1,614",183
2010,America,2010180,Panama,591,"1,57,309",461,126
2010,America,2010182,Argentina,32,"18,05,957","26,788","11,480"
2010,America,2010183,Bolivia (Plurinational State of),68,"1,22,846",747,"2,240"
2010,America,2010184,Brazil,76,"5,92,568","4,947",909
2010,America,2010185,Chile,152,"3,75,388",,
2010,America,2010186,Colombia,170,"1,24,271",172,515
2010,America,2010187,Ecuador,218,"3,25,366","41,671","7,354"
2010,America,2010188,Falkland Islands (Malvinas),238,"1,436",21,38
2010,America,2010189,French Guiana,254,"96,288","2,950",925
2010,America,2010190,Guyana,328,"13,126",520,228
2010,America,2010191,Paraguay,600,"1,60,299","2,613","1,270"
2010,America,2010192,Peru,604,"1,04,706",416,846
2010,America,2010193,Suriname,740,"39,713","11,521","4,886"
2010,America,2010194,Uruguay,858,"76,303","1,475","4,433"
2010,America,2010195,Venezuela (Bolivarian Republic of),862,"13,47,347",148,29
2010,Australia / New Zealand,2010198,Australia,36,"58,82,980","16,680","50,040"
2010,Australia / New Zealand,2010199,New Zealand,554,"9,47,443","29,338","9,706"
2010,Melanesia,2010201,Fiji,242,"13,351","1,518",206
2010,Melanesia,2010202,New Caledonia,540,"61,158","3,892","1,851"
2010,Melanesia,2010203,Papua New Guinea,598,"30,425",935,186
2010,Melanesia,2010204,Solomon Islands,90,"2,760",554,58
2010,Melanesia,2010205,Vanuatu,548,"2,991",569,231
2010,Micronesia,2010207,Guam,316,"75,416","1,653",813
2010,Micronesia,2010208,Kiribati,296,"2,868",185,276
2010,Micronesia,2010209,Marshall Islands,584,"3,089",262,78
2010,Micronesia,2010210,Micronesia (Fed. States of),583,"2,806","1,424",410
2010,Micronesia,2010211,Nauru,520,"1,183",417,80
2010,Micronesia,2010212,Northern Mariana Islands,580,"24,168",823,215
2010,Micronesia,2010213,Palau,585,"5,490",104,45
2010,Polynesia,2010215,American Samoa,16,"23,555",423,141
2010,Polynesia,2010216,Cook Islands,184,"3,769",437,232
2010,Polynesia,2010217,French Polynesia,258,"31,640","3,477",575
2010,Polynesia,2010218,Niue,570,589,56,5
2010,Polynesia,2010219,Samoa,882,"5,122",333,118
2010,Polynesia,2010220,Tokelau,772,429,33,1
2010,Polynesia,2010221,Tonga,776,"4,604","1,525","1,784"
2010,Polynesia,2010222,Tuvalu,798,220,55,45
2010,Polynesia,2010223,Wallis and Futuna Islands,876,"1,624",7,18
2010,EUROPE,2010227,Belarus,112,"10,90,378",116,174
2010,EUROPE,2010228,Bulgaria,100,"76,287",351,"1,059"
2010,EUROPE,2010229,Czechia,203,"3,98,493",,
2010,EUROPE,2010230,Hungary,348,"4,36,616","1,439","7,757"
2010,EUROPE,2010231,Poland,616,"6,42,417","5,380","1,781"
2010,EUROPE,2010232,Republic of Moldova,498,"1,29,488",539,"4,356"
2010,EUROPE,2010233,Romania,642,"1,77,211","6,255","10,065"
2010,EUROPE,2010234,Russian Federation,643,"1,11,94,710",532,41
2010,EUROPE,2010235,Slovakia,703,"1,46,319",572,40
2010,EUROPE,2010236,Ukraine,804,"48,18,767","1,48,919","1,90,207"
2010,EUROPE,2010238,Channel Islands,830,"77,581",836,"2,117"
2010,EUROPE,2010239,Denmark,208,"5,00,772",,
2010,EUROPE,2010240,Estonia,233,"2,17,890",12,64
2010,EUROPE,2010241,Faroe Islands,234,"5,096",219,40
2010,EUROPE,2010242,Finland,246,"2,28,481",689,"2,066"
2010,EUROPE,2010243,Iceland,352,"35,091",,
2010,EUROPE,2010244,Ireland,372,"7,30,542",,
2010,EUROPE,2010245,Isle of Man,833,"43,447",704,"1,366"
2010,EUROPE,2010246,Latvia,428,"3,13,786",,
2010,EUROPE,2010247,Lithuania,440,"1,60,772",254,144
2010,EUROPE,2010248,Norway,578,"5,26,799","9,222",601
2010,EUROPE,2010249,Sweden,752,"13,84,929","1,927","91,815"
2010,EUROPE,2010250,United Kingdom,826,"71,19,664","14,039","27,633"
2010,EUROPE,2010252,Albania,8,"52,784","1,152","4,693"
2010,EUROPE,2010253,Andorra,20,"52,053",628,"1,881"
2010,EUROPE,2010254,Bosnia and Herzegovina,70,"38,792",477,474
2010,EUROPE,2010255,Croatia,191,"5,73,248","4,954","14,860"
2010,EUROPE,2010256,Gibraltar,292,"10,369",852,"1,325"
2010,EUROPE,2010257,Greece,300,"13,21,149",,
2010,EUROPE,2010258,Holy See,336,794,315,479
2010,EUROPE,2010259,Italy,380,"57,87,893","17,140","25,711"
2010,EUROPE,2010260,Malta,470,"33,008",665,20
2010,EUROPE,2010261,Montenegro,499,"78,512",254,128
2010,EUROPE,2010262,North Macedonia,807,"1,29,701",852,563
2010,EUROPE,2010263,Portugal,620,"7,62,825","2,274",809
2010,EUROPE,2010264,San Marino,674,"4,880",119,110
2010,EUROPE,2010265,Serbia,688,"8,26,275",581,287
2010,EUROPE,2010266,Slovenia,705,"2,53,786","4,984","14,952"
2010,EUROPE,2010267,Spain,724,"62,80,065",510,"1,530"
2010,EUROPE,2010269,Austria,40,"12,75,992",,
2010,EUROPE,2010270,Belgium,56,"15,03,806","34,954","52,431"
2010,EUROPE,2010271,France,250,"73,09,986",,
2010,EUROPE,2010272,Germany,276,"98,12,263","1,721","99,150"
2010,EUROPE,2010273,Liechtenstein,438,"22,342",528,110
2010,EUROPE,2010274,Luxembourg,442,"1,63,142",234,13
2010,EUROPE,2010275,Monaco,492,"21,132","3,431","6,859"
2010,EUROPE,2010276,Netherlands,528,"18,32,510","4,656",296
2010,EUROPE,2010277,Switzerland,756,"20,75,182","67,100","67,977"
2010,America,2010279,Bermuda,60,"18,884",672,355
2010,America,2010280,Canada,124,"67,61,226","3,966","5,950"
2010,America,2010281,Greenland,304,"6,091",83,124
2010,America,2010282,Saint Pierre and Miquelon,666,"1,017",20,
2010,America,2010283,United States of America,840,"4,41,83,643","20,99,990","11,824"
2015,Africa,2015024,Burundi,108,"2,89,810","23,599","3,242"
2015,Africa,2015025,Comoros,174,"12,555",754,597
2015,Africa,2015026,Djibouti,262,"1,12,351","5,042","1,679"
2015,Africa,2015027,Eritrea,232,"15,941","1,533",693
2015,Africa,2015028,Ethiopia,231,"11,61,642","53,985","17,996"
2015,Africa,2015029,Kenya,404,"11,26,886","51,715","27,769"
2015,Africa,2015030,Madagascar,450,"32,075","3,827","4,785"
2015,Africa,2015031,Malawi,454,"2,32,803","37,781","11,708"
2015,Africa,2015032,Mauritius,480,"28,585","1,361",191
2015,Africa,2015033,Mayotte,175,"73,992",768,765
2015,Africa,2015034,Mozambique,508,"3,21,794","4,636","13,906"
2015,Africa,2015035,Réunion,638,"1,27,209","7,428","5,181"
2015,Africa,2015036,Rwanda,646,"5,14,647","6,267","2,583"
2015,Africa,2015037,Seychelles,690,"12,791",272,152
2015,Africa,2015038,Somalia,706,"40,990","13,713","7,719"
2015,Africa,2015039,South Sudan,728,"8,44,122","2,497",
2015,Africa,2015040,Uganda,800,"8,51,175","2,475",41
2015,Africa,2015041,United Republic of Tanzania,834,"3,84,567","30,803","10,268"
2015,Africa,2015042,Zambia,894,"1,32,107","14,076","1,466"
2015,Africa,2015043,Zimbabwe,716,"4,00,482","1,06,687","5,587"
2015,Africa,2015045,Angola,24,"6,32,178","3,92,283","1,30,760"
2015,Africa,2015046,Cameroon,120,"5,08,346","13,306","4,435"
2015,Africa,2015047,Central African Republic,140,"81,598","17,641","5,881"
2015,Africa,2015048,Chad,148,"4,66,968","10,758","3,586"
2015,Africa,2015049,Congo,178,"3,90,142","6,330","2,109"
2015,Africa,2015050,Democratic Republic of the Congo,180,"8,24,492","22,977","12,128"
2015,Africa,2015051,Equatorial Guinea,226,"2,09,611","2,00,231",634
2015,Africa,2015052,Gabon,266,"3,78,686","8,038","1,897"
2015,Africa,2015053,Sao Tome and Principe,678,"2,394",40,16
2015,Africa,2015055,Botswana,72,"1,03,268","4,972","1,652"
2015,Africa,2015056,Eswatini,748,"32,352","6,933",605
2015,Africa,2015057,Lesotho,426,"6,572","1,032","1,608"
2015,Africa,2015058,Namibia,516,"1,01,618","1,736",423
2015,Africa,2015059,South Africa,710,"38,16,695","8,19,674","2,73,235"
2015,Africa,2015061,Benin,204,"3,66,284","36,244","2,744"
2015,Africa,2015062,Burkina Faso,854,"7,04,676","33,351","12,983"
2015,Africa,2015063,Cabo Verde,132,"14,924","1,306",202
2015,Africa,2015064,Côte d'Ivoire,384,"24,67,984","48,289","20,585"
2015,Africa,2015065,Gambia,270,"1,92,540","3,723","1,862"
2015,Africa,2015066,Ghana,288,"4,14,744","15,379","46,135"
2015,Africa,2015067,Guinea,324,"1,26,386","6,967","2,987"
2015,Africa,2015068,Guinea-Bissau,624,"22,333",99,592
2015,Africa,2015069,Liberia,430,"1,13,779","5,579","1,824"
2015,Africa,2015070,Mali,466,"4,20,504","25,149","8,359"
2015,Africa,2015071,Mauritania,478,"1,66,552","5,358",56
2015,Africa,2015072,Niger,562,"2,52,998","8,758","2,920"
2015,Africa,2015073,Nigeria,566,"11,99,115","85,216","37,457"
2015,Africa,2015074,Saint Helena,654,377,29,35
2015,Africa,2015075,Senegal,686,"2,66,496","28,388","14,581"
2015,Africa,2015076,Sierra Leone,694,"58,813",222,691
2015,Africa,2015077,Togo,768,"2,77,384","21,045",492
2015,Africa,2015080,Algeria,12,"2,39,473","6,011","1,991"
2015,Africa,2015081,Egypt,818,"3,53,641","13,110","4,369"
2015,Africa,2015082,Libya,434,"7,71,146",,
2015,Africa,2015083,Morocco,504,"92,424","11,229","4,539"
2015,Africa,2015084,Sudan,729,"6,20,523","21,805",
2015,Africa,2015085,Tunisia,788,"56,532","7,594","3,358"
2015,Africa,2015086,Western Sahara,732,"5,179",124,88
2015,Asia,2015088,Armenia,51,"1,91,199","11,022","8,882"
2015,Asia,2015089,Azerbaijan,31,"2,64,241","1,660",830
2015,Asia,2015090,Bahrain,48,"7,04,137","5,435","2,329"
2015,Asia,2015091,Cyprus,196,"1,92,020","1,936",645
2015,Asia,2015092,Georgia,268,"76,685","2,278",734
2015,Asia,2015093,Iraq,368,"3,59,381","25,223",641
2015,Asia,2015094,Israel,376,"20,11,727","24,403","5,81,297"
2015,Asia,2015095,Jordan,400,"31,12,026","15,793","5,264"
2015,Asia,2015096,Kuwait,414,"28,66,136","85,873","28,624"
2015,Asia,2015097,Lebanon,422,"19,73,204","1,227",397
2015,Asia,2015098,Oman,512,"18,56,226","56,318","19,014"
2015,Asia,2015099,Qatar,634,"16,87,640","22,850","9,793"
2015,Asia,2015100,Saudi Arabia,682,"1,07,71,366","3,00,339","62,698"
2015,Asia,2015101,State of Palestine,275,"2,55,507","20,792","2,007"
2015,Asia,2015102,Syrian Arab Republic,760,"8,71,174","60,692","6,428"
2015,Asia,2015103,Turkey,792,"43,46,197","1,27,895","24,001"
2015,Asia,2015104,United Arab Emirates,784,"79,95,126","1,91,891","51,180"
2015,Asia,2015105,Yemen,887,"3,79,882","30,075","4,281"
2015,Asia,2015108,Kazakhstan,398,"35,46,060","1,23,008","1,35,955"
2015,Asia,2015109,Kyrgyzstan,417,"2,04,382","2,148","2,253"
2015,Asia,2015110,Tajikistan,762,"2,75,101",205,95
2015,Asia,2015111,Turkmenistan,795,"1,96,376","2,858","1,226"
2015,Asia,2015112,Uzbekistan,860,"11,70,873","54,578","22,287"
2015,Asia,2015114,Afghanistan,4,"4,89,749","94,199","31,399"
2015,Asia,2015115,Bangladesh,50,"14,22,805","1,00,567","1,84,104"
2015,Asia,2015116,Bhutan,64,"51,106",979,"2,938"
2015,Asia,2015117,India,356,"52,40,960","12,973","2,593"
2015,Asia,2015118,Iran (Islamic Republic of),364,"27,26,420","1,92,329","49,963"
2015,Asia,2015119,Maldives,462,"64,273","4,078",137
2015,Asia,2015120,Nepal,524,"5,09,471","12,113",656
2015,Asia,2015121,Pakistan,586,"35,06,520","60,445","20,148"
2015,Asia,2015122,Sri Lanka,144,"39,706","1,389",539
2015,Asia,2015125,China,156,"9,78,046","1,37,515","26,744"
2015,Asia,2015126,"China, Hong Kong SAR",344,"28,38,665","27,367","4,532"
2015,Asia,2015127,"China, Macao SAR",446,"3,76,066","10,837","32,512"
2015,Asia,2015128,Dem. People's Republic of Korea,408,"48,458","1,442",691
2015,Asia,2015129,Japan,392,"22,32,189","1,36,333","19,325"
2015,Asia,2015130,Mongolia,496,"19,886",505,177
2015,Asia,2015131,Republic of Korea,410,"11,43,087","38,687","13,374"
2015,Asia,2015133,Brunei Darussalam,96,"1,02,733",771,255
2015,Asia,2015134,Cambodia,116,"73,963","2,045",894
2015,Asia,2015135,Indonesia,360,"3,38,124","6,126","32,701"
2015,Asia,2015136,Lao People's Democratic Republic,418,"45,538","2,514",925
2015,Asia,2015137,Malaysia,458,"32,80,681","1,28,544","90,980"
2015,Asia,2015138,Myanmar,104,"73,309","5,989","3,460"
2015,Asia,2015139,Philippines,608,"2,11,862","41,895","14,024"
2015,Asia,2015140,Singapore,702,"25,43,638","2,41,811","40,801"
2015,Asia,2015141,Thailand,764,"34,86,526",514,317
2015,Asia,2015142,Timor-Leste,626,"8,520","1,030",128
2015,Asia,2015143,Viet Nam,704,"72,793","3,755","1,548"
2015,Caribbean,2015146,Anguilla,660,"5,470","1,265",183
2015,Caribbean,2015147,Antigua and Barbuda,28,"28,083",179,216
2015,Caribbean,2015148,Aruba,533,"36,114",809,809
2015,Caribbean,2015149,Bahamas,44,"59,306",632,376
2015,Caribbean,2015150,Barbados,52,"34,475","10,559","3,519"
2015,Caribbean,2015151,British Virgin Islands,92,"19,132","1,132","1,787"
2015,Caribbean,2015152,"Bonaire, Sint Eustatius and Saba",535,"13,002",507,86
2015,Caribbean,2015153,Cayman Islands,136,"26,177",23,55
2015,Caribbean,2015154,Cuba,192,"5,312",602,198
2015,Caribbean,2015155,Curaçao,531,"37,611",170,394
2015,Caribbean,2015156,Dominica,212,"8,093","1,199",399
2015,Caribbean,2015157,Dominican Republic,214,"5,49,289","2,117","6,351"
2015,Caribbean,2015158,Grenada,308,"7,057",738,"1,496"
2015,Caribbean,2015159,Guadeloupe,312,"98,507","4,415","1,070"
2015,Caribbean,2015160,Haiti,332,"18,036",957,383
2015,Caribbean,2015161,Jamaica,388,"23,167","2,246",224
2015,Caribbean,2015162,Martinique,474,"61,731","1,170",563
2015,Caribbean,2015163,Montserrat,500,"1,351",220,19
2015,Caribbean,2015164,Puerto Rico,630,"2,80,494","16,068","5,356"
2015,Caribbean,2015165,Saint Kitts and Nevis,659,"7,443","2,643","1,279"
2015,Caribbean,2015166,Saint Lucia,662,"8,673",554,48
2015,Caribbean,2015167,Saint Vincent and the Grenadines,670,"4,637",248,43
2015,Caribbean,2015168,Sint Maarten (Dutch part),534,"27,295","1,720",609
2015,Caribbean,2015169,Trinidad and Tobago,780,"50,021","5,527","1,869"
2015,Caribbean,2015170,Turks and Caicos Islands,796,"22,719","1,305","3,654"
2015,Caribbean,2015171,United States Virgin Islands,850,"56,721",926,241
2015,America,2015173,Belize,84,"54,674",351,"1,028"
2015,America,2015174,Costa Rica,188,"4,11,697","13,384",564
2015,America,2015175,El Salvador,222,"42,045",96,31
2015,America,2015176,Guatemala,320,"78,352","2,023",71
2015,America,2015177,Honduras,340,"38,317",134,76
2015,America,2015178,Mexico,484,"10,28,803","16,080","5,360"
2015,America,2015179,Nicaragua,558,"40,262","1,726",191
2015,America,2015180,Panama,591,"1,84,710",502,147
2015,America,2015182,Argentina,32,"20,86,302","30,910","13,247"
2015,America,2015183,Bolivia (Plurinational State of),68,"1,42,989",870,"2,608"
2015,America,2015184,Brazil,76,"7,16,568","15,957","1,095"
2015,America,2015185,Chile,152,"6,39,724",,
2015,America,2015186,Colombia,170,"1,39,134",239,576
2015,America,2015187,Ecuador,218,"3,87,513","60,613","10,696"
2015,America,2015188,Falkland Islands (Malvinas),238,"1,571",23,42
2015,America,2015189,French Guiana,254,"1,06,108","1,783",557
2015,America,2015190,Guyana,328,"15,384",610,267
2015,America,2015191,Paraguay,600,"1,56,462","2,559","1,239"
2015,America,2015192,Peru,604,"1,54,774","1,095",899
2015,America,2015193,Suriname,740,"43,127","12,513","5,306"
2015,America,2015194,Uruguay,858,"78,799","1,523","4,585"
2015,America,2015195,Venezuela (Bolivarian Republic of),862,"14,04,448",158,34
2015,Australia / New Zealand,2015198,Australia,36,"67,29,730","22,508","67,522"
2015,Australia / New Zealand,2015199,New Zealand,554,"10,39,736","31,268","9,753"
2015,Melanesia,2015201,Fiji,242,"13,751","1,564",212
2015,Melanesia,2015202,New Caledonia,540,"68,881","2,991","1,422"
2015,Melanesia,2015203,Papua New Guinea,598,"30,940",921,188
2015,Melanesia,2015204,Solomon Islands,90,"2,585",526,54
2015,Melanesia,2015205,Vanuatu,548,"3,187",667,242
2015,Micronesia,2015207,Guam,316,"76,089","1,667",820
2015,Micronesia,2015208,Kiribati,296,"2,919",190,285
2015,Micronesia,2015209,Marshall Islands,584,"3,284",278,82
2015,Micronesia,2015210,Micronesia (Fed. States of),583,"2,756","1,394",402
2015,Micronesia,2015211,Nauru,520,"1,890",660,126
2015,Micronesia,2015212,Northern Mariana Islands,580,"21,648",740,193
2015,Micronesia,2015213,Palau,585,"4,937",93,44
2015,Polynesia,2015215,American Samoa,16,"23,513",429,140
2015,Polynesia,2015216,Cook Islands,184,"3,477",409,214
2015,Polynesia,2015217,French Polynesia,258,"30,058","3,304",546
2015,Polynesia,2015218,Niue,570,588,55,4
2015,Polynesia,2015219,Samoa,882,"4,252",279,95
2015,Polynesia,2015220,Tokelau,772,487,36,1
2015,Polynesia,2015221,Tonga,776,"3,954","1,313","1,532"
2015,Polynesia,2015222,Tuvalu,798,230,58,47
2015,Polynesia,2015223,Wallis and Futuna Islands,876,"1,052",2,5
2015,EUROPE,2015227,Belarus,112,"10,82,905",124,187
2015,EUROPE,2015228,Bulgaria,100,"1,23,803",116,348
2015,EUROPE,2015229,Czechia,203,"4,16,454",,
2015,EUROPE,2015230,Hungary,348,"4,75,508","5,953","13,888"
2015,EUROPE,2015231,Poland,616,"6,19,403","5,481","1,777"
2015,EUROPE,2015232,Republic of Moldova,498,"1,06,374",611,"4,501"
2015,EUROPE,2015233,Romania,642,"2,81,048","4,424","7,431"
2015,EUROPE,2015234,Russian Federation,643,"1,16,43,276",578,47
2015,EUROPE,2015235,Slovakia,703,"1,77,624",499,20
2015,EUROPE,2015236,Ukraine,804,"49,15,142","1,05,251","3,14,055"
2015,EUROPE,2015238,Channel Islands,830,"82,307",887,"2,246"
2015,EUROPE,2015239,Denmark,208,"5,95,876",,
2015,EUROPE,2015240,Estonia,233,"1,94,664",6,30
2015,EUROPE,2015241,Faroe Islands,234,"5,485",183,116
2015,EUROPE,2015242,Finland,246,"3,14,856",561,"1,681"
2015,EUROPE,2015243,Iceland,352,"39,072",177,355
2015,EUROPE,2015244,Ireland,372,"7,59,256",,
2015,EUROPE,2015245,Isle of Man,833,"42,238","1,875","3,636"
2015,EUROPE,2015246,Latvia,428,"2,65,418",,
2015,EUROPE,2015247,Lithuania,440,"1,36,021",242,136
2015,EUROPE,2015248,Norway,578,"7,46,375","10,248",540
2015,EUROPE,2015249,Sweden,752,"16,76,264","2,557","91,291"
2015,EUROPE,2015250,United Kingdom,826,"84,11,569","17,953","35,338"
2015,EUROPE,2015252,Albania,8,"52,031","1,139","4,626"
2015,EUROPE,2015253,Andorra,20,"42,264",622,"1,864"
2015,EUROPE,2015254,Bosnia and Herzegovina,70,"38,574",482,471
2015,EUROPE,2015255,Croatia,191,"5,61,093","1,287","3,862"
2015,EUROPE,2015256,Gibraltar,292,"11,065",909,"1,415"
2015,EUROPE,2015257,Greece,300,"12,42,924",,
2015,EUROPE,2015258,Holy See,336,803,318,485
2015,EUROPE,2015259,Italy,380,"58,05,328","18,956","28,436"
2015,EUROPE,2015260,Malta,470,"52,642","2,349",33
2015,EUROPE,2015261,Montenegro,499,"71,719",685,288
2015,EUROPE,2015262,North Macedonia,807,"1,30,730",919,609
2015,EUROPE,2015263,Portugal,620,"8,64,814","2,577",984
2015,EUROPE,2015264,San Marino,674,"5,195",152,136
2015,EUROPE,2015265,Serbia,688,"8,07,441",559,105
2015,EUROPE,2015266,Slovenia,705,"2,37,616","3,029","9,086"
2015,EUROPE,2015267,Spain,724,"58,91,208","3,795","11,383"
2015,EUROPE,2015269,Austria,40,"14,92,374",,
2015,EUROPE,2015270,Belgium,56,"17,83,488","43,636","65,454"
2015,EUROPE,2015271,France,250,"78,74,172",,
2015,EUROPE,2015272,Germany,276,"1,02,20,418","1,725","99,868"
2015,EUROPE,2015273,Liechtenstein,438,"23,799",380,401
2015,EUROPE,2015274,Luxembourg,442,"2,48,888",356,19
2015,EUROPE,2015275,Monaco,492,"25,983","3,263","9,268"
2015,EUROPE,2015276,Netherlands,528,"19,96,318","5,021",419
2015,EUROPE,2015277,Switzerland,756,"24,16,394","40,858","1,04,043"
2015,America,2015279,Bermuda,60,"19,126",681,359
2015,America,2015280,Canada,124,"74,28,657",964,"2,834"
2015,America,2015281,Greenland,304,"5,797",109,163
2015,America,2015282,Saint Pierre and Miquelon,666,986,19,
2015,America,2015283,United States of America,840,"4,81,78,877","23,91,790","11,512"
2019,Africa,2019024,Burundi,108,"3,21,018","26,143","3,591"
2019,Africa,2019025,Comoros,174,"12,504",754,594
2019,Africa,2019026,Djibouti,262,"1,15,341","5,178","1,723"
2019,Africa,2019027,Eritrea,232,"16,101","1,693",565
2019,Africa,2019028,Ethiopia,231,"12,53,083","20,738","6,913"
2019,Africa,2019029,Kenya,404,"10,44,854","47,950","25,747"
2019,Africa,2019030,Madagascar,450,"34,934","4,168","5,211"
2019,Africa,2019031,Malawi,454,"2,47,652","38,330","11,878"
2019,Africa,2019032,Mauritius,480,"28,849","1,373",192
2019,Africa,2019033,Mayotte,175,"74,643",774,771
2019,Africa,2019034,Mozambique,508,"3,34,665","4,214","12,642"
2019,Africa,2019035,Réunion,638,"1,29,153","7,544","5,260"
2019,Africa,2019036,Rwanda,646,"5,39,932","6,576","2,709"
2019,Africa,2019037,Seychelles,690,"12,926",287,153
2019,Africa,2019038,Somalia,706,"52,131","16,440","9,252"
2019,Africa,2019039,South Sudan,728,"8,65,552","2,568",
2019,Africa,2019040,Uganda,800,"17,34,166","2,494",41
2019,Africa,2019041,United Republic of Tanzania,834,"5,09,166","27,623","9,208"
2019,Africa,2019042,Zambia,894,"1,70,249","17,655","1,889"
2019,Africa,2019043,Zimbabwe,716,"4,11,257","1,09,561","5,737"
2019,Africa,2019045,Angola,24,"6,69,479","3,83,658","1,27,885"
2019,Africa,2019046,Cameroon,120,"5,05,692","10,296","3,432"
2019,Africa,2019047,Central African Republic,140,"90,649","19,597","6,533"
2019,Africa,2019048,Chad,148,"5,12,230","11,806","3,935"
2019,Africa,2019049,Congo,178,"4,02,142","6,532","2,177"
2019,Africa,2019050,Democratic Republic of the Congo,180,"9,63,833","22,221","11,729"
2019,Africa,2019051,Equatorial Guinea,226,"2,27,617","1,74,400","43,600"
2019,Africa,2019052,Gabon,266,"4,11,463","8,762","2,061"
2019,Africa,2019053,Sao Tome and Principe,678,"2,174",36,17
2019,Africa,2019055,Botswana,72,"1,10,596","5,340","1,769"
2019,Africa,2019056,Eswatini,748,"32,310","6,607",614
2019,Africa,2019057,Lesotho,426,"6,928","1,097","1,695"
2019,Africa,2019058,Namibia,516,"1,07,561","1,837",447
2019,Africa,2019059,South Africa,710,"42,24,256","8,78,465","2,92,826"
2019,Africa,2019061,Benin,204,"3,90,112","38,607","2,922"
2019,Africa,2019062,Burkina Faso,854,"7,18,338","34,404","13,388"
2019,Africa,2019063,Cabo Verde,132,"15,664","1,384",212
2019,Africa,2019064,Côte d'Ivoire,384,"25,49,141","49,895","21,261"
2019,Africa,2019065,Gambia,270,"2,15,406","4,170","2,083"
2019,Africa,2019066,Ghana,288,"4,66,780","17,314","51,941"
2019,Africa,2019067,Guinea,324,"1,20,642","6,713","2,877"
2019,Africa,2019068,Guinea-Bissau,624,"26,916","1,102",649
2019,Africa,2019069,Liberia,430,"94,448","6,009","2,255"
2019,Africa,2019070,Mali,466,"4,68,230","12,739","9,307"
2019,Africa,2019071,Mauritania,478,"1,72,987","5,318",79
2019,Africa,2019072,Niger,562,"2,94,161","9,924","3,308"
2019,Africa,2019073,Nigeria,566,"12,56,408","89,294","39,246"
2019,Africa,2019074,Saint Helena,654,433,32,41
2019,Africa,2019075,Senegal,686,"2,75,239","29,327","15,061"
2019,Africa,2019076,Sierra Leone,694,"54,332",219,672
2019,Africa,2019077,Togo,768,"2,79,142","21,178",495
2019,Africa,2019080,Algeria,12,"2,49,075","6,265","2,070"
2019,Africa,2019081,Egypt,818,"5,04,053","18,732","6,243"
2019,Africa,2019082,Libya,434,"8,18,216",,
2019,Africa,2019083,Morocco,504,"98,574","11,976","4,841"
2019,Africa,2019084,Sudan,729,"12,23,092","26,895",
2019,Africa,2019085,Tunisia,788,"57,455","7,727","3,412"
2019,Africa,2019086,Western Sahara,732,"5,384",133,91
2019,Asia,2019088,Armenia,51,"1,90,159","10,962","8,833"
2019,Asia,2019089,Azerbaijan,31,"2,53,887","1,637",797
2019,Asia,2019090,Bahrain,48,"7,41,161","5,736","2,451"
2019,Asia,2019091,Cyprus,196,"1,91,922","2,024",674
2019,Asia,2019092,Georgia,268,"79,035","2,347",756
2019,Asia,2019093,Iraq,368,"3,68,062","25,844",656
2019,Asia,2019094,Israel,376,"19,56,346","23,762","5,65,294"
2019,Asia,2019095,Jordan,400,"33,46,703","17,017","5,672"
2019,Asia,2019096,Kuwait,414,"30,34,845","90,941","30,313"
2019,Asia,2019097,Lebanon,422,"18,63,873","1,172",375
2019,Asia,2019098,Oman,512,"22,86,226","69,373","23,418"
2019,Asia,2019099,Qatar,634,"22,29,688","23,327","9,988"
2019,Asia,2019100,Saudi Arabia,682,"1,31,22,338","3,65,891","76,391"
2019,Asia,2019101,State of Palestine,275,"2,53,735","20,656","1,993"
2019,Asia,2019102,Syrian Arab Republic,760,"8,67,848","60,460","6,403"
2019,Asia,2019103,Turkey,792,"58,76,829","1,05,253","32,453"
2019,Asia,2019104,United Arab Emirates,784,"85,87,256","2,06,102","54,970"
2019,Asia,2019105,Yemen,887,"3,85,628","30,529","4,350"
2019,Asia,2019108,Kazakhstan,398,"37,05,556","1,28,539","1,42,068"
2019,Asia,2019109,Kyrgyzstan,417,"2,00,260","2,104","2,207"
2019,Asia,2019110,Tajikistan,762,"2,74,071",204,94
2019,Asia,2019111,Turkmenistan,795,"1,95,127","2,853","1,224"
2019,Asia,2019112,Uzbekistan,860,"11,68,384","54,468","22,239"
2019,Asia,2019114,Afghanistan,4,"1,49,762","28,808","9,601"
2019,Asia,2019115,Bangladesh,50,"21,85,613","1,46,658","1,88,806"
2019,Asia,2019116,Bhutan,64,"53,254","1,016","3,061"
2019,Asia,2019117,India,356,"51,54,737","12,116","2,421"
2019,Asia,2019118,Iran (Islamic Republic of),364,"26,82,214","1,89,215","49,152"
2019,Asia,2019119,Maldives,462,"69,249","4,393",147
